全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
122033,,市川市,いちかわ観光・物産インフォメーション（旧八幡市民談話室）,ｲﾁｶﾜｶﾝｺｳ･ﾌﾞｯｻﾝｲﾝﾌｫﾒｰｼｮﾝ,,,,千葉県市川市八幡2丁目4-8,千葉県,市川市,八幡2丁目,4月8日,,35.72257083,139.9279823,,,正面玄関,(047)335-1711,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,塩浜市民体育館,ｼｵﾊﾏｼﾐﾝﾀｲｸｶﾝ,,,,千葉県市川市塩浜4丁目9-1,千葉県,市川市,塩浜4丁目,9月1日,,35.66089245,139.9141429,,,1階ﾛﾋﾞ-,(047)398-2311,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,地域ｹｱ南行徳第二,ﾁｲｷｹｱﾐﾅﾐｷﾞｮｳﾄｸﾀﾞｲﾆ,,,,千葉県市川市塩浜4丁目2-2-101,千葉県,市川市,塩浜4丁目,2-2-101,,35.66245927,139.9132544,,,玄関左,(047)398-8347,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,塩浜保育園,ｼｵﾊﾏﾎｲｸｴﾝ,,,,千葉県市川市塩浜4丁目2-10-101,千葉県,市川市,塩浜4丁目,2-10-101,,35.66318308,139.9114252,,,玄関,(047)397-2628,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,いきいきｾﾝﾀ-塩浜,ｲｷｲｷｾﾝﾀ-ｼｵﾊﾏ,,,,千葉県市川市塩浜4丁目3-1-101,千葉県,市川市,塩浜4丁目,3-1-101,ﾊｲﾀｳﾝ塩浜,35.66309961,139.9133149,,,1階玄関,(047)395-2586,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,塩浜学園(前期課程),ｼｵﾊﾏｶﾞｸｴﾝ(ｾﾞﾝｷｶﾃｲ),,,,千葉県市川市塩浜4丁目6-1,千葉県,市川市,塩浜4丁目,6月1日,,35.66385813,139.9156376,,,玄関,(047)397-4421,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,塩浜学園(後期課程),ｼｵﾊﾏｶﾞｸｴﾝ(ｺｳｷｶﾃｲ),,,,千葉県市川市塩浜4丁目5-1,千葉県,市川市,塩浜4丁目,5月1日,,35.66525808,139.9142762,,,玄関,(047)397-1250,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,福栄ｽﾎﾟ-ﾂ広場,ﾌｸｴｲｽﾎﾟ-ﾂﾋﾛﾊﾞ,,,,千葉県市川市福栄4丁目32-4,千葉県,市川市,福栄4丁目,Apr-32,,35.66666259,139.9119985,,,管理棟受付横,(047)398-0606,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,いきいきｾﾝﾀ-福栄,ｲｷｲｷｾﾝﾀ-ﾌｸｴｲ,,,,千葉県市川市福栄4丁目32-2,千葉県,市川市,福栄4丁目,Feb-32,,35.66939283,139.9106694,,,1階ﾎ-ﾙ,(047)395-6906,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,新井地域ふれあい館,ｱﾗｲﾁｲｷﾌﾚｱﾝｶﾝ,,,,千葉県市川市新井3丁目31-1,千葉県,市川市,新井3丁目,1月31日,,35.66974838,139.8986617,,,玄関正面,(047)395-5019,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,南行徳中学校,ﾐﾅﾐｷﾞｮｳﾄｸﾁｭｳｶﾞｯｺｳ,,,,千葉県市川市南行徳2丁目2-2,千葉県,市川市,南行徳2丁目,2月2日,,35.6709626,139.9072297,,,職員玄関,(047)397-5910,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,富美浜小学校,ﾌﾐﾊﾏｼｮｳｶﾞｯｺｳ,,,,千葉県市川市南行徳2丁目3-1,千葉県,市川市,南行徳2丁目,3月1日,,35.67152659,139.9053257,,,校長室前,(047)396-2522,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,南行徳保健ｾﾝﾀ-,ﾐﾅﾐｷﾞｮｳﾄｸﾎｹﾝｾﾝﾀ-,,,,千葉県市川市南行徳1丁目21-1,千葉県,市川市,南行徳1丁目,1月21日,,35.67168285,139.9014293,,,事務室内,(047)359-8785,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,南行徳市民ｾﾝﾀ-,ﾐﾅﾐｷﾞｮｳﾄｸｼﾐﾝｾﾝﾀ-,,,,千葉県市川市南行徳1丁目21-1,千葉県,市川市,南行徳1丁目,1月21日,,35.67157919,139.9012819,,,正面玄関,(047)359-7891,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,福栄小学校,ﾌｸｴｲｼｮｳｶﾞｯｺｳ,,,,千葉県市川市南行徳2丁目2-1,千葉県,市川市,南行徳2丁目,2月1日,,35.67188268,139.9070968,,,市民図書室前廊下,(047)397-8115,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,福栄中学校,ﾌｸｴﾁｭｳｶﾞｯｺｳ,,,,千葉県市川市福栄3丁目4-1,千葉県,市川市,福栄3丁目,4月1日,,35.67381073,139.910022,,,職員玄関,(047)396-0701,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,南新浜小学校,ﾐﾅﾐﾆｲﾊﾏｼｮｳｶﾞｯｺｳ,,,,千葉県市川市新浜1丁目26-1,千葉県,市川市,新浜1丁目,1月26日,,35.67459572,139.916584,,,玄関正面,(047)396-9731,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,新井小学校,ｱﾗｲｼｮｳｶﾞｯｺｳ,,,,千葉県市川市新井1丁目18-13,千葉県,市川市,新井1丁目,18-13,,35.67395687,139.8905462,,,1階昇降口,(047)357-1722,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,富美浜地域ふれあい館,ﾌﾐﾊﾏﾁｲｷﾌﾚｱｲｶﾝ,,,,千葉県市川市欠真間2丁目31-5,千葉県,市川市,欠真間2丁目,5月31日,,35.6753644,139.9054193,,,玄関正面,(047)356-5844,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,いきいきｾﾝﾀ-日之出,ｲｷｲｷｾﾝﾀ-ﾋﾉﾃﾞ,,,,千葉県市川市日之出8-18,千葉県,市川市,日之出,8月18日,,35.67809408,139.9236631,,,1階玄関,(047)397-8221,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,行徳保育園,ｷﾞｮｳﾄｸﾎｲｸｴﾝ,,,,千葉県市川市行徳駅前4丁目22-17,千葉県,市川市,行徳駅前4丁目,22-17,,35.67848775,139.9136851,,,事務室,(047)395-4843,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,広尾防災公園,ﾋﾛｵﾎﾞｳｻｲｺｳｴﾝ,,,,千葉県市川市広尾2丁目3,千葉県,市川市,広尾2丁目,3,,35.6787706,139.8893155,,,事務所内,(047)359-0155,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,香取地域ふれあい館,ｶﾝﾄﾞﾘﾁｲｷﾌﾚｱｲｶﾝ,,,,千葉県市川市香取2丁目19-1,千葉県,市川市,香取2丁目,1月19日,,35.67914621,139.9100237,,,玄関正面,(047)358-3854,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,南行徳幼稚園,ﾐﾅﾐｷﾞｮｳﾄｸﾖｳﾁｴﾝ,,,,千葉県市川市欠真間1丁目6-15,千葉県,市川市,欠真間1丁目,6月15日,,35.67953437,139.9007403,,,職員玄関入口,(047)358-5333,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
